title,year,name,type,character,n
Kanske en diktare,1933,Eric Abrahamsson,actor,Irate guest at the restaurant,
Karl Fredrik regerar,1934,Eric Abrahamsson,actor,Snorken ?berg,8.0
Kyss henne!,1940,Eric Abrahamsson,actor,Senior accountant Karlsson,4.0
Landstormens lilla lotta,1939,Eric Abrahamsson,actor,Axel Andersson,
Munkbrogreven,1935,Eric Abrahamsson,actor,Borstis,7.0
Pappas pojke,1938,Eric Abrahamsson,actor,Anton Johansson,3.0
Rena rama sanningen,1939,Eric Abrahamsson,actor,Filip Morell,6.0
Sexlingar,1942,Eric Abrahamsson,actor,Solgren,6.0
Snurriga familjen,1940,Eric Abrahamsson,actor,Svensson,7.0
Stackars Ferdinand,1941,Eric Abrahamsson,actor,Herman Sj?berg,3.0
Stora famnen,1940,Eric Abrahamsson,actor,Lundin,14.0
Styrman Karlssons flammor,1938,Eric Abrahamsson,actor,Mrs. Doring's servant,
Terje Vigen,1917,Eric Abrahamsson,actor,Fisherman,
Monopol,1996,Magnus Abrahamsson,actor,Member of 'Arvstwistarna',25.0
Monopol,1996,M?ns Abrahamsson,actor,Member of 'Arvstwistarna',24.0
30:e november,1995,Peter L. Abrahamsson,actor,Hasse,8.0
Naken,2000,Peter L. Abrahamsson,actor,Rymmare 2,
Sommaren,1995,Peter L. Abrahamsson,actor,Alexander,8.0
Char vogi,1928,A. Abrahamyan,actor,Gyulnaz,10.0
The Bad Mother,2015,Anushavan Abrahamyan,actor,Jovaness,8.0
Anahit,1947,Kh. Abrahamyan,actor,Nariman,9.0
Kaj Nazar,1940,Kh. Abrahamyan,actor,Courtier,11.0
Kikos,1931,Kh. Abrahamyan,actor,Mauserist,
Krder-ezidner,1934,Kh. Abrahamyan,actor,Khurshud,
Lernayin arshav,1939,Kh. Abrahamyan,actor,Mauzerist #1,18.0
Meksikakan diplomatner,1932,Kh. Abrahamyan,actor,Officer #1,
Sevani dzknorsnere,1939,Kh. Abrahamyan,actor,Vaghinak,12.0
Ushadrutyun!,1930,Kh. Abrahamyan,actor,Drunkard,1.0
Antsyali ardzaganqnere,1971,Khoren Abrahamyan,actor,Artavazd,1.0
Apretseq yerkar,1979,Khoren Abrahamyan,actor,Sisakyan,7.0
Arajin siro yerge,1958,Khoren Abrahamyan,actor,Arsen,1.0
Araratyan dashti aghchike,1949,Khoren Abrahamyan,actor,Farmer,
Hastseatiroj voronumnere,1955,Khoren Abrahamyan,actor,Brutyan,3.0
Heghnar aghbyur,1971,Khoren Abrahamyan,actor,Mkrtich's friend,4.0
Hrdeh,1984,Khoren Abrahamyan,actor,Bar-tender,12.0
Huso astgh,1978,Khoren Abrahamyan,actor,Ter-Avetis,5.0
Kani der aprum enk,1986,Khoren Abrahamyan,actor,Manvel,1.0
Legend tzaghratzui masin,1980,Khoren Abrahamyan,actor,False Priest,3.0
"Menq enq, mer sarere",1969,Khoren Abrahamyan,actor,Pavle,3.0
Mor sirte,1958,Khoren Abrahamyan,actor,Armen,6.0
O moyom druge,1959,Khoren Abrahamyan,actor,Ruben,1.0
Parqi oghakner,1962,Khoren Abrahamyan,actor,Gurgen,3.0
Pluzum,1960,Khoren Abrahamyan,actor,Vardan,2.0
Saroyan yeghbayrnere,1969,Khoren Abrahamyan,actor,Gevorg Saroyan,2.0
Tchanaparh,1962,Khoren Abrahamyan,actor,Gabo,7.0
Yerevanyan oreri khronikan,1974,Khoren Abrahamyan,actor,Armen,1.0
Yerkunq,1977,Khoren Abrahamyan,actor,Aleksandr Myasnikyan,1.0
Yot sarits ayn koghm,1980,Khoren Abrahamyan,actor,Matos,4.0
Dzori Miro,1981,R. Abrahamyan,actor,Glag,
Kamoyi verjin skhranqe,1974,V. Abrahamyan,actor,Voskanyan,11.0
Monsters of Mulberry Street,2017,John Abrahante,actor,Tommy 'Snacks',
The Light (VII),2014,David Abrahmov,actor,Jacob Benjamin,
Deadline Auto Theft,1983,Edward Abrahms,actor,Harold Blight Smith,
Double Nickels,1977,Edward Abrahms,actor,Ed,
Gone in 60 Seconds,1974,Edward Abrahms,actor,Harold Blight Smith,
Ripple Effect,2007,Jamie Abrahms,actor,Advertising Executive,24.0
Dedecek automobil,1957,Miroslav Abrah?m,actor,Railman ,23.0
Dedecek automobil,1957,Miroslav Abrah?m,actor, Photographer,23.0
Fantom Morrisvillu,1966,Miroslav Abrah?m,actor,Younger Man,19.0
Ikarie XB 1,1963,Miroslav Abrah?m,actor,Crewmember,
U telefonu Martin,1966,Miroslav Abrah?m,actor,Policeman,12.0
Popstar,2000,Brunno Abrah?o,actor,Lipe,
Um Crime Nobre,2001,Brunno Abrah?o,actor,Dino,8.0
Xuxa Abracadabra,2003,Brunno Abrah?o,actor,Lucas,
Flor do Desejo,1983,Guilherme Abrah?o,actor,Bagrinho,23.0
Beitar Provence,2002,Motti Abrajil,actor,Naor,13.0
Arzy. Dumb,2015,Nurlan Abrakhmanov,actor,Mytash,
One Shot,2014,Adam Abram,actor,Omar,
SAGA - Curse of the Shadow,2013,Adam Abram,actor,Fangtor Bloodmoon,15.0
The Eleventh Hour,2008,Adam Abram,actor,Menacing Mercenary,
Osombie,2012,Adam (III) Abram,actor,Ryan,18.0
Beauty and the Beast: A Latter-Day Tale,2007,Alex Abram,actor,Restaurant Patron,22.0
Soulkeeper,2001,Deren Abram,actor,Zombie,
The Godson,1998,Deren Abram,actor,Billy Bob,41.0
By the Devil's Hands,2009,Jared Abram,actor,Young Reed Samuels,21.0
Tammytown,2007,Jerry Lee Abram,actor,Tristan K. - son of Dr. K.,
Money Kills,2012,Luke Abram,actor,Cop,
Bergblut,2010,Martin Maria Abram,actor,Gallus Egger,5.0
Berlina - Eine Reise ins Ungewisse,1991,Martin Maria Abram,actor,Salesman,
Beste Gegend,2008,Martin Maria Abram,actor,Guiseppe,
Der Atem des Himmels,2010,Martin Maria Abram,actor,Father Jenny,14.0
Elser,2015,Martin Maria Abram,actor,Ludwig Elser,10.0
Freispiel,1991,Martin Maria Abram,actor,Schachspieler,
La mortadella,1971,Martin Maria Abram,actor,Young Man,
Prinzenbad,1993,Martin Maria Abram,actor,Harald,
Schlag dein Tier,1992,Martin Maria Abram,actor,Georg Schlemmer,
Something Between Us,2000,Richard Abram,actor,British Physicist #2,12.0
eCupid,2011,Shon Abram,actor,Patron,47.0
The Key (II),2015,Shon Abram,actor,Josh,4.0
By the Devil's Hands,2009,Simon Abram,actor,Young Scott Samuels,20.0
Gandzi,1961,Soso Abramashvili,actor,Simone,5.0
Maia Tskneteli,1959,Soso Abramashvili,actor,Gio,6.0
Papa Gigia,1960,Soso Abramashvili,actor,Jabuka,4.0
Vykrutasy,2011,Sergey Abramenko,actor,Komanda 'Tambov',84.0
There Be Dragons,2011,Vadym Abramenko,actor,Russian 1,66.0
BAgI,2011,Pavel Abramenkov,actor,Sergey,3.0
Donde cae el sol,2002,Pedro Abramian,actor,Tango dancer,
III,2015,Andrey Abramichev,actor,Doctor,4.0
Zvigenis kbili,1960,Arsen Abramishvili,actor,Husein,8.0
Duraki umirayut po pyatnitsam,1990,Boris Abramkin,actor,Boris Stepanovich Naumov,14.0
ALIVE: An Undead Survival Series Volume 2,2015,Emily Rose Abramo,actor,Zombie,
Forever Dead,2007,Joe Abramo,actor,Kamikaze Army Guy,
A Foreign Affair,1948,Nick Abramoff,actor,Russian Soldier,
Dancing Alone,2007,Mark Abramouski,actor,Lead Bully,8.0
Viraalikosketus,2016,Aleksandr (IV) Abramov,actor,Aaronin kaveri 1,
Karpukhin,1973,Anatoli Abramov,actor,Witness Yevdokim Charushin,8.0
Poyezd miloserdiya,1965,Anatoli Abramov,actor,Wounded Man from Penza,9.0
"Pravdu! Nichego, krome pravdy!",1969,Anatoli Abramov,actor,Simmons,13.0
Samye pervye,1962,Anatoli Abramov,actor,Ivan Vasilyevich,12.0
Sovsem propashchiy,1973,Anatoli Abramov,actor,Doctor Robinson,19.0
Teni,1953,Anatoli Abramov,actor,Ivan Mikheich Svistikov,6.0
Udar! Eshchyo udar!,1968,Anatoli Abramov,actor,Referee,11.0
Vesna v Moskve,1953,Anatoli Abramov,actor,Commandant of the hostel,8.0
Istoriyi grafomana,2012,Boris Abramov,actor,Fedir,5.0
Slaughter Massacre,2011,Daniil Abramov,actor,Ranger Kain,
Kak Dzhanni popal v ad,1956,Georgiy Abramov,actor,Betto,10.0
Sinegoriya,1946,Lev Abramov,actor,Valeriy Cherepashkin,11.0
Mute Witness,1995,Oleg Abramov,actor,Double,19.0
Ten-Buck Baton,2013,Simon Abramov,actor,Jacob,22.0
Ch/B,2014,Stepan Abramov,actor,Presenter in 'Mafia',
Peregon,2006,Stepan Abramov,actor,Fitil',
Ballada o soldate,1959,Valentin Abramov,actor,Mitya (boy with clock),20.0
"Blokada: Luzhskiy rubezh, Pulkovskiy meredian",1975,Valentin Abramov,actor,Shaposhnikov,15.0
Medovyy mesyats,1956,Valentin Abramov,actor,Nachalnik Stroitelstva,
More v ogne,1972,Valentin Abramov,actor,Shaposhnikov,43.0
Osobyy podkhod,1959,Valentin Abramov,actor,Announcer,
Poslanniki vechnosti,1971,Valentin Abramov,actor,Bit part,
Rayskiye yablochki,1974,Valentin Abramov,actor,Bit-Part,
Frontovye podrugi,1941,Vasili Abramov,actor,Trishin,10.0
Kafe V'Limon,1994,Yefim Abramov,actor,Manager,6.0
Lean neelam Moshe Ivgy,2012,Assaf Abramovic,actor,Berger,
Kniga masterov,2009,Aleksandr (II) Abramovich,actor,Otets Ivana,28.0
Zima mertvetsov. Metelitsa,2012,Aleksandr (II) Abramovich,actor,Otets Mikhail,3.0
Cuarteles de invierno,1984,Enrique Abramovich,actor,Enfermero,23.0
Ben's at Home,2014,Dan Abramovici,actor,Ben,
Unlucky,2011,Dan Abramovici,actor,Receptionist,22.0
Henry X,2003,Seth Abramovitch,actor,Wing Cmdr. O'Farrella,
2:22,2008,Seymour Abramovitz,actor,AA Member,59.0
17 rue Bleue,2001,Sofiane Abramovitz,actor,Samir (enfant),5.0
The Human Beeing,2002,Andy Abramowicz,actor,The Bees,2.0
The Human Beeing,2002,Andy Abramowicz,actor,The Producer,2.0
Number One,1969,Danny Abramowicz,actor,Himself,
Thanatos (III),2015,Kaja Abramowicz,actor,Girl in Waiting Room,
Compromising Positions,1985,Elkan Abramowitz,actor,Police sergeant,24.0
Hello Again,1987,Elkan Abramowitz,actor,Burns,15.0
Free Verse,2014,Jas Abramowitz,actor,Frank,
Barnabus & Bella,2010,Sam Abramowitz,actor,Jacobus' Entourage,11.0
A Mel Klein Short,2016,Zack Abramowitz,actor,Mel Klein,
Alchemy,2005,Zack Abramowitz,actor,Restaurant Patron,
Anger Management,2003,Zack Abramowitz,actor,Baseball Fan,
Game 6,2005,Zack Abramowitz,actor,Bar Patron #1,
Green Eyes,2013,Zack Abramowitz,actor,Glenn Jones,4.0
The Bastard Men of Root Flats,2009,Zack Abramowitz,actor,Mr. Hammer,
Wild Men,2016,Zack Abramowitz,actor,Dick,1.0
Zack and Michael,2008,Zack Abramowitz,actor,Zack,
Aufdermauer,1982,Klaus Abramowsky,actor,Albert Wisotzky,1.0
Bittere Ernte,1985,Klaus Abramowsky,actor,Herr Rubin,
Das Spinnennetz,1989,Klaus Abramowsky,actor,Literat,16.0
Elysium,1986,Klaus Abramowsky,actor,Dr. Helmer,3.0
Europa Europa,1990,Klaus Abramowsky,actor,Vater,5.0
Rosa Luxemburg,1986,Klaus Abramowsky,actor,Arthur Stadthagen,20.0
Une femme fatale,1974,Klaus Abramowsky,actor,Mr. Lang,10.0
Annapolis,2006,Bolden Abrams Jr.,actor,Barber,
Bottomfeeders,2001,Bolden Abrams Jr.,actor,Moses,
Hell's Threshold,2006,Bolden Abrams Jr.,actor,Fred Tyson,12.0
Snipes,2001,Bolden Abrams Jr.,actor,Bar Patron,
Leonard Part 6,1987,George Abrams Jr.,actor,Medusa Guard,40.0
#FromJennifer,2016,Aaron Abrams,actor,Ralph,
388 Arletta Avenue,2011,Aaron Abrams,actor,Alex,4.0
Amelia,2009,Aaron Abrams,actor,Slim Gordon,8.0
At Home by Myself... with You,2009,Aaron Abrams,actor,Guy,2.0
Cinderella Man,2005,Aaron Abrams,actor,1928 Fan,67.0
Closet Monster,2015,Aaron Abrams,actor,Peter Madly,1.0
Firehouse Dog,2007,Aaron Abrams,actor,Policeman at Bridge,32.0
Flash of Genius,2008,Aaron Abrams,actor,Ian Meillor,44.0
It Was You Charlie,2013,Aaron Abrams,actor,Tom,3.0
Jesus Henry Christ,2011,Aaron Abrams,actor,Malcolm's Dad,23.0
Jesus Henry Christ,2011,Aaron Abrams,actor,Nurse Stewart,23.0
Regression,2015,Aaron Abrams,actor,Farrell,12.0
Resident Evil: Apocalypse,2004,Aaron Abrams,actor,Assistant,20.0
Sabah,2005,Aaron Abrams,actor,Paramedic,8.0
Siblings,2004,Aaron Abrams,actor,Pastor,9.0
Take This Waltz,2011,Aaron Abrams,actor,Aaron,10.0
The Chicago 8,2011,Aaron Abrams,actor,Lee Weiner,9.0
The In-Laws,2003,Aaron Abrams,actor,Student,17.0
The Visual Bible: The Gospel of John,2003,Aaron Abrams,actor,Man in Temple Crowd #3,
Young People Fucking,2007,Aaron Abrams,actor,Matt,1.0
Zoom,2006,Aaron Abrams,actor,Corporal Lipscombe,
Hell in the Heavens,1934,Abe Abrams,actor,French Mechanic,
The 9th Life of Louis Drax,2016,Adam Abrams,actor,Doctor (X-Ray),6.0
Cherry Pop,2016,Allen Abrams,actor,Dancer,
InAPPropriate Comedy,2013,Allen Abrams,actor,White Swan,
Unbelievers,2016,Andre D. Abrams,actor,Robert Timothy,
Dude,2016,Austin Abrams,actor,James,
Gangster Squad,2013,Austin Abrams,actor,Pete,21.0
Grass Stains,2016,Austin Abrams,actor,Hunter Gorski,
Jewtopia,2012,Austin Abrams,actor,Young Adam Lipschitz,1.0
Medicine Men,2016,Austin Abrams,actor,Colt Rossdale,
Paper Towns,2015,Austin Abrams,actor,Ben,3.0
Sacrifice,2014,Austin Abrams,actor,Tim,
The Kings of Summer,2013,Austin Abrams,actor,Aaron,19.0
Tragedy Girls,2017,Austin Abrams,actor,Craig Thompson,
We Don't Belong Here,2016,Austin Abrams,actor,Davey,10.0
Flickers: A Silent Romantic Comedy,1995,Barry Abrams,actor,Flower Shop Owner,7.0
Gray Matters (II),2006,Barry Abrams,actor,Professor Clyde Gunner,
The Inn,2004,Barry Abrams,actor,Villian,1.0
All for Melissa,2007,Brendan Abrams,actor,AZW Wrestler,56.0
Offer and Compromise,2016,Casey (IV) Abrams,actor,Travis Parker,4.0
Napoleon Dynamite,2004,Cody Abrams,actor,School Kid,40.0
"Peace, Love, & Misunderstanding",2011,Damian Abrams,actor,Protester,
The Instant Messenger Mission,2011,Damian Abrams,actor,Musician,
Fair Game,2010,Dan Abrams,actor,Himself,
Nothing But the Truth,2008,Dan Abrams,actor,Himself,29.0
Zoolander 2,2016,Dan Abrams,actor,Dan Abrams,99.0
Knots,2004,Dan (IV) Abrams,actor,Fin shoe commercial,25.0
Crying Wolf,2015,Dan (IX) Abrams,actor,Posessed Dancer,
Cute Little Buggers,2017,Dan (IX) Abrams,actor,Earnest,
Rock Band Vs Vampires,2016,Dan (IX) Abrams,actor,Gimp,17.0
Melvin Goes to Dinner,2003,Daniel Abrams,actor,Extra,36.0
My Life's in Turnaround,1993,Daniel Abrams,actor,Club doorman,21.0
Cougars Inc.,2011,Dave (II) Abrams,actor,Student,
J. Edgar,2011,Dave (II) Abrams,actor,Agent,
Open House,2010,Dave (II) Abrams,actor,Police Officer,
Alexander Jamieson,2016,David (II) Abrams,actor,Schooner Seaman,
Cold Mountain,2003,David (II) Abrams,actor,Orderly #2,
Republic of Pete,2010,David (II) Abrams,actor,Party Attendee,
The Notebook,2004,David (II) Abrams,actor,Recruit,
The Profit,2001,David (II) Abrams,actor,Vern Maffitt,37.0
The Ripping,2012,David (II) Abrams,actor,Detective Gigleas,14.0
Violenza segreta,1963,David (V) Abrams,actor,Abdi,
Bicycle Bride,2010,David (VI) Abrams,actor,Abrams,
Bicycle Bride,2010,David (VII) Abrams,actor,Homeless guy,
Invited,2010,Deidra Abrams,actor,Elle,
School Daze,1988,Dennis Abrams,actor,Eric,60.0
Ready? Sex? Wait!,2015,Dez Abrams,actor,Wedding Decor Assistant,
Goldirocks,2003,Dominick Abrams,actor,Adler,3.0
Angels,1976,Drew Abrams,actor,Leon DeWilde,1.0
Double Nickels,1977,Ed Abrams,actor,Ed,
The Slime People,1963,Edward Finch Abrams,actor,Bum in Theater,
The Gunsaulus Mystery,1921,Edward R. Abrams,actor,Sydney Wyeth,2.0
Fossil,2004,Eric (II) Abrams,actor,Alan Kenner,9.0
The Gift,2001,Eric (II) Abrams,actor,NSA Agent,22.0
Freedomland,2006,Eric L. Abrams,actor,Cop,
Honeydripper,2007,Eric L. Abrams,actor,Ham,16.0
Never Forever,2007,Eric L. Abrams,actor,INS Officer,27.0
Noise (II),2007,Eric L. Abrams,actor,Security Cop #1,8.0
Sugar!,2016,Ethan Abrams,actor,Bar Patron,41.0
Nothing But the Truth,2008,Floyd Abrams,actor,Judge Hall,9.0
A Song in the Shell,2012,Gary (II) Abrams,actor,Ben,1.0
Darius,2013,Gary (II) Abrams,actor,Alan,
The Broken Tower,2011,Gary (II) Abrams,actor,Angry Boxing Fan,
The Sandman,1995,George Abrams,actor,Hershberger,14.0
Star Trek,2009,Gerald W. Abrams,actor,Barfly,45.0
Star Trek Into Darkness,2013,Gerald W. Abrams,actor,Starfleet Memorial Admiral,74.0
Star Wars: Episode VII - The Force Awakens,2015,Gerald W. Abrams,actor,Captain Cypress,53.0
Hell House LLC,2015,Gore Abrams,actor,Paul O'keefe,
Hometown Hero,2016,Gore Abrams,actor,Trevor Jenkins,4.0
Let Me Make You a Martyr,2016,Gore Abrams,actor,Brown,8.0
Living the Gimmick: The Great American Unwashed,2017,Gore Abrams,actor,Shep Shmortzman,3.0
Mom,2013,Gore Abrams,actor,Arden,2.0
"Right Song, Wrong Chord",2015,Gore Abrams,actor,Josh,
Summum Bonum,2014,Gore Abrams,actor,Gore,2.0
The Vixens,2015,Gore Abrams,actor,The Reporter,16.0
The Philadelphia Bicycle Vignette Story,2016,Ian Abrams,actor,Political Analyst George Kaufman,
Diabolique,1996,J.J. Abrams,actor,Video Photographer #2,12.0
Regarding Henry,1991,J.J. Abrams,actor,Delivery Boy,29.0
Six Degrees of Separation,1993,J.J. Abrams,actor,Doug,14.0
The Suburbans,1999,J.J. Abrams,actor,Rock Journalist,24.0
A Gentleman's Agreement,1918,Jacob Abrams,actor,Prof. Kane,4.0
Cupid Forecloses,1919,Jacob Abrams,actor,Rufe Tinker,7.0
God's Gold,1921,Jacob Abrams,actor,Isaac Solomon,6.0
In Wrong,1919,Jacob Abrams,actor,Nate Glazier,8.0
Maid o' the Storm,1918,Jacob Abrams,actor,Joseah Dods,8.0
Social Briars,1918,Jacob Abrams,actor,Mr. Brown,8.0
The Blood of His Fathers,1917,Jacob Abrams,actor,Isaac in 1917,5.0
The Cave Girl,1921,Jacob Abrams,actor,Prof. Orlando Sperry,8.0
The Dawn of Understanding,1918,Jacob Abrams,actor,Parson Davies,6.0
The Gentleman from Indiana,1915,Jacob Abrams,actor,Undetermined Role,
The Outside Woman,1921,Jacob Abrams,actor,Curator,8.0
Hollywood Boulevard,2009,Jacob (III) Abrams,actor,Pizza Guy,
Reds & Blues: The Ballad of Dixie & Kenny,2010,Jake (II) Abrams,actor,The Street End Band,29.0
The Girl in His House,1918,James Abrams,actor,Samuel Boardman,3.0
The Flying Scissors,2009,James (II) Abrams,actor,Drake,
Hellacious Acres: The Case of John Glass,2011,Jamie Abrams,actor,James Walker,
The Dead Experiment,2013,Jamie Abrams,actor,Jacob,3.0
Summum Bonum,2014,Jamie Vu Abrams,actor,Jamie Vu,
Night Sweats,2016,Jason Abrams,actor,Charles Hebert,
Kamikaze Hearts,1986,Jerry Abrams,actor,Gerald Greystone,5.0
Summum Bonum,2014,Jerry (II) Abrams,actor,Jerry,
The Children,1980,Jessie Abrams,actor,Clarkie Freemont,15.0
Angels,1976,Jimmy Abrams,actor,Little Leon,19.0
Summum Bonum,2014,Jonah Abrams,actor,Jonah,
A Beer Tale,2012,Jonah Isaac Abrams,actor,Bully #2,48.0
A Remarkable Life,2016,Jonah Isaac Abrams,actor,Chad,
Dear Eleanor,2016,Jonah Isaac Abrams,actor,Church Attendee,
Joshua Tree,2014,Jonah Isaac Abrams,actor,Monica's Son Julio,19.0
Self Portrait,2013,Jonah Isaac Abrams,actor,Classroom Kid #2,
Living the Gimmick: The Great American Unwashed,2017,Jordan Abrams,actor,Ronnie,6.0
Summum Bonum,2014,Jordan Abrams,actor,Jude,1.0
Dark Truths,2012,Joshua M. Abrams,actor,Dark Figure,7.0
Summum Bonum,2014,Julien Abrams,actor,Julien,
Manifest Destiny: The Lewis & Clark Musical Adventure,2016,Kevin (VII) Abrams,actor,Meriwether Lewis,2.0
DaZe: Vol. Too (sic) - NonSeNse,2016,Lawrence Abrams,actor,Uncle Larry,
Devil on My Shoulder,2010,Lawrence Abrams,actor,Eddie,19.0
Live at the Foxes Den,2013,Lawrence Abrams,actor,Trumpet Player,25.0
Ghosts Never Sleep,2005,Lee (II) Abrams,actor,Strip Club Patron,45.0
Ghosts Never Sleep,2005,Lee (II) Abrams,actor,Staff Member,45.0
Bury My Heart with Tonawanda,2013,Lonnie Abrams,actor,Water drum singer,
The Hills,2016,Lorenzo Abrams,actor,Club Patron,
Coffka,2009,Mac Abrams,actor,Daycare Boy 1,20.0
Summum Bonum,2014,Mannie Abrams,actor,Mannie,
H.O.A. Havoc,2013,Marc Abrams,actor,Sammy,
Earth on Fire,1997,Matthew Abrams,actor,Assassin,14.0
Summer Camp,1979,Michael Abrams,actor,Dr. Fox,1.0
Get Outta Dodge,2010,Michael (X) Abrams,actor,Fight Scene Onlooker 1,28.0
Off the Mark,1987,Mike Abrams,actor,Jenell's Men,51.0
Conversations with Other Women,2005,Noah Abrams,actor,Partygoer,
Lords of Dogtown,2005,Noah Abrams,actor,Agent,
Roommates,1995,Noah Abrams,actor,Stavinski,19.0
What We Do Is Secret,2007,Noah Abrams,actor,Audience Member #2,33.0
After Tomorrow,2005,Peter (II) Abrams,actor,Bernard,15.0
Road to Victory,2007,Peter (II) Abrams,actor,Dr. Morino,4.0
The Tortured,2010,Peter (II) Abrams,actor,Judge Stanley,14.0
Toxic Skies,2008,Peter (II) Abrams,actor,Male Patient,
Insidious: Chapter 3,2015,Phil Abrams,actor,Mel,16.0
Jersey Boys,2014,Phil Abrams,actor,Publisher #3,41.0
Living Room Coffin,2016,Phil Abrams,actor,Gray,
Men's Group,2016,Phil Abrams,actor,Neil,
Nancy Drew,2007,Phil Abrams,actor,Principal Fineman,17.0
Saving Sarah Cain,2007,Phil Abrams,actor,Charles Eberley,16.0
The Island,2005,Phil Abrams,actor,Obgyn,18.0
The List,2016,Phil Abrams,actor,Dentist,
White Frog,2012,Phil Abrams,actor,Ira Goldman,10.0
Lunatics: A Love Story,1991,Reginald 'Motsi Ski' Abrams,actor,Rapper #1,13.0
I Walked with a Zombie,1943,Richard Abrams,actor,Clement,
Medium Cool,1969,Richard Abrams,actor,Black Militant,22.0
The Way Home,2004,Robert (V) Abrams,actor,David,
To See the Moon in the Morning Sky,2007,Robert (V) Abrams,actor,Rob,11.0
Ace Up My Sleeve,1976,Robert L. Abrams,actor,Mr. Blatt,9.0
Una flama al cor,2011,Sam Abrams,actor,Himself,6.0
Excess Flesh,2015,Samantha Abrams,actor,Nina Core,
Persistence of Memory,2014,Sean Matthew Abrams,actor,Carles,5.0
Purgatorio,2012,Sean Matthew Abrams,actor,Soul of the Violent,6.0
Inside a Change,2009,Seth Abrams,actor,Mikey,
Paradise East,2010,Seth Abrams,actor,Chip,3.0
Starla,2012,Seth Abrams,actor,David,3.0
The Crack Down,2008,Seth Abrams,actor,Stabs,2.0
Trigger Man,2007,Seth Abrams,actor,Seth,8.0
Beverly Kills,2005,Shang Abrams,actor,Marquis,17.0
Dead Air,2009,Shang Abrams,actor,Informed Caller,
Hot Guys with Guns,2013,Shang Abrams,actor,Auditioner one,
Secret Lover,2008,Shang Abrams,actor,Jackson,11.0
Woman Thou Art Loosed: On the 7th Day,2012,Shang Abrams,actor,Police Officer,27.0
Army of Darkness,1992,Sol Abrams,actor,Fake Shemp,23.0
Evil Dead II,1987,Sol Abrams,actor,Fake Shemp,11.0
A Simple Plan,1998,Solomon Abrams,actor,Bar Patron,22.0
The Quick and the Dead,1995,Solomon Abrams,actor,Man on Veranda,30.0
Valley of the Sun,2011,Sonia Abrams,actor,Widow Garrity,18.0
Makua Charley,2013,Stephen R. Abrams,actor,Policeman 2,
57th Annual Young Musicians Foundation Gala,2012,Teddy Abrams,actor,Conductor,
Bury My Heart with Tonawanda,2013,Terry Abrams,actor,Seneca mourner,
The Mostly Unfabulous Social Life of Ethan Green,2005,Tod Abrams,actor,Arty Guy,20.0
Kept Boy,2016,Tod (III) Abrams,actor,Producer Tod,
Bury My Heart with Tonawanda,2013,Wayne Abrams,actor,Narrator,
A Song in the Shell,2012,David (II) Abramsky,actor,Gregg,3.0
Charlie and Wendy,2015,David (II) Abramsky,actor,Michael,11.0
Darius,2013,David (II) Abramsky,actor,Jim,
Life in Parallel,2012,David (II) Abramsky,actor,Dan,
The Shift (II),2011,David (II) Abramsky,actor,Toy,
Dead Leaves,1998,Haim Abramsky,actor,Joey,1.0
Fast Food Fast Women,2000,Haim Abramsky,actor,Ron,27.0
Area 51,2015,Roy Abramsohn,actor,Jim Nelson,5.0
Citrus Springs,2016,Roy Abramsohn,actor,Sean Narramore,
Doobious Sources,2016,Roy Abramsohn,actor,Subject #1,
Escape from Tomorrow,2013,Roy Abramsohn,actor,Jim,1.0
Gekijouban Urutoraman X: Kitazo! Warera no Urutoraman,2016,Roy Abramsohn,actor,Captain Kamiki,
Rapid Fire,1992,Roy Abramsohn,actor,Agent Klein,29.0
W.M.D.,2013,Roy Abramsohn,actor,Artichoke Anchor,
Alien Showdown: The Day the Old West Stood Still,2013,Andreas Abramson,actor,Townsfolk,14.0
Demon Hunter,2012,Andreas Abramson,actor,Club Patron,38.0
Grooming Giselle,2013,Carl Abramson,actor,Dr. Rogen,20.0
The Slammin' Salmon,2009,Daniel Abramson,actor,Frat Guy #3,
Fishing Naked,2015,Eric Peter Abramson,actor,Cameraman,20.0
Stimulantia,1967,Hans Abramson,actor,Interviewer (and Narrator),
The Girl with the Dragon Tattoo,2011,Jan (II) Abramson,actor,Forsman,45.0
Edge of Seventeen,1998,Jeffrey Abramson,actor,Dan McAllistair,21.0
Hedda Gabler,2004,John Abramson,actor,Brack,4.0
The Glove,1979,John (II) Abramson,actor,Policeman,34.0
Separate Ways,1981,Joshua Abramson,actor,Student,
Game Day,1999,Keith Abramson,actor,President Murphy,26.0
Rak ti Khon Kaen,2015,Richard (II) Abramson,actor,Richard Widner,12.0
Ishtar,1987,Stuart Abramson,actor,Screamin' Honkers,45.0
Judgment Night,1993,Stuart Abramson,actor,Rent-A-Cop #2,22.0
U Pana Boga za miedza,2009,Vladimir Abramushkin,actor,'Gruzin',
U Pana Boga za piecem,1998,Vladimir Abramushkin,actor,Georgian,16.0
Mezanits yereqe,1988,Aiastan Abramyan,actor,"(segment ""Slovo"")",21.0
The Secret of Berlin,2015,Alexander Abramyan,actor,Luke,
Streets of Rage,1994,Harut Abramyan,actor,Fighter,29.0
Otar khagher,1986,Levon Abramyan,actor,Aram's father,6.0
Kasi az gorbehaye irani khabar nadareh,2009,Abrang,actor,Themselves,36.0
Invisible Men,2015,Abrantee,actor,Jermaine,
L for Leisure,2014,Gabriel Abrantes,actor,Chip,
